hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
10,Itanagar,27.100174,93.604004,31.5,6.0,62,2026-05-31,Medium,Moderate,High
11,Itanagar,27.100174,93.604004,30.6,4.8,67,2026-05-31,Medium,Low,High
12,Itanagar,27.100174,93.604004,28.7,1.3,81,2026-05-31,Medium,Low,Very High
13,Itanagar,27.100174,93.604004,27.2,2.0,88,2026-05-31,Medium,Low,Very High
14,Itanagar,27.100174,93.604004,26.5,3.5,89,2026-05-31,Medium,Low,Very High
15,Itanagar,27.100174,93.604004,25.8,3.0,89,2026-05-31,Medium,Low,Very High
16,Itanagar,27.100174,93.604004,25.6,2.2,87,2026-05-31,Medium,Low,Very High
17,Itanagar,27.100174,93.604004,25.6,2.2,85,2026-05-31,Medium,Low,Very High
18,Itanagar,27.100174,93.604004,25.4,1.9,86,2026-05-31,Medium,Low,Very High
19,Itanagar,27.100174,93.604004,24.1,5.7,94,2026-05-31,Cool,Moderate,Very High
20,Itanagar,27.100174,93.604004,23.9,4.6,96,2026-05-31,Cool,Low,Very High
21,Itanagar,27.100174,93.604004,24.0,2.5,93,2026-05-31,Cool,Low,Very High
22,Itanagar,27.100174,93.604004,24.6,1.7,87,2026-05-31,Cool,Low,Very High
23,Itanagar,27.100174,93.604004,24.8,2.3,86,2026-05-31,Cool,Low,Very High
0,Itanagar,27.100174,93.604004,25.5,1.3,87,2026-06-01,Medium,Low,Very High
1,Itanagar,27.100174,93.604004,26.6,1.4,83,2026-06-01,Medium,Low,Very High
2,Itanagar,27.100174,93.604004,27.9,4.1,79,2026-06-01,Medium,Low,High
3,Itanagar,27.100174,93.604004,29.1,6.2,75,2026-06-01,Medium,Moderate,High
4,Itanagar,27.100174,93.604004,30.0,7.4,72,2026-06-01,Medium,Moderate,High
5,Itanagar,27.100174,93.604004,30.6,8.1,69,2026-06-01,Medium,Moderate,High
6,Itanagar,27.100174,93.604004,31.1,8.3,67,2026-06-01,Medium,Moderate,High
7,Itanagar,27.100174,93.604004,31.6,7.4,64,2026-06-01,Medium,Moderate,High
8,Itanagar,27.100174,93.604004,31.8,6.0,62,2026-06-01,Medium,Moderate,High
9,Itanagar,27.100174,93.604004,31.7,4.9,63,2026-06-01,Medium,Low,High
10,Itanagar,27.100174,93.604004,30.8,3.7,69,2026-06-01,Medium,Low,High
11,Itanagar,27.100174,93.604004,29.5,2.4,78,2026-06-01,Medium,Low,High
12,Itanagar,27.100174,93.604004,28.4,1.2,86,2026-06-01,Medium,Low,Very High
13,Itanagar,27.100174,93.604004,27.7,0.9,89,2026-06-01,Medium,Low,Very High
14,Itanagar,27.100174,93.604004,27.1,1.5,89,2026-06-01,Medium,Low,Very High
15,Itanagar,27.100174,93.604004,26.5,2.4,89,2026-06-01,Medium,Low,Very High
16,Itanagar,27.100174,93.604004,25.8,3.4,90,2026-06-01,Medium,Low,Very High
17,Itanagar,27.100174,93.604004,25.0,4.4,90,2026-06-01,Cool,Low,Very High
18,Itanagar,27.100174,93.604004,24.4,4.7,91,2026-06-01,Cool,Low,Very High
19,Itanagar,27.100174,93.604004,24.1,3.8,93,2026-06-01,Cool,Low,Very High
20,Itanagar,27.100174,93.604004,23.9,2.2,95,2026-06-01,Cool,Low,Very High
21,Itanagar,27.100174,93.604004,23.8,0.9,96,2026-06-01,Cool,Low,Very High
22,Itanagar,27.100174,93.604004,23.9,0.7,97,2026-06-01,Cool,Low,Very High
23,Itanagar,27.100174,93.604004,24.1,1.0,96,2026-06-01,Cool,Low,Very High
0,Itanagar,27.100174,93.604004,24.4,1.3,94,2026-06-02,Cool,Low,Very High
1,Itanagar,27.100174,93.604004,25.0,1.8,91,2026-06-02,Cool,Low,Very High
2,Itanagar,27.100174,93.604004,25.7,2.7,87,2026-06-02,Medium,Low,Very High
3,Itanagar,27.100174,93.604004,26.5,3.6,83,2026-06-02,Medium,Low,Very High
4,Itanagar,27.100174,93.604004,27.5,4.8,78,2026-06-02,Medium,Low,High
5,Itanagar,27.100174,93.604004,28.6,6.0,73,2026-06-02,Medium,Moderate,High
6,Itanagar,27.100174,93.604004,29.4,6.6,70,2026-06-02,Medium,Moderate,High
7,Itanagar,27.100174,93.604004,29.7,5.6,70,2026-06-02,Medium,Moderate,High
8,Itanagar,27.100174,93.604004,29.7,4.3,71,2026-06-02,Medium,Low,High
9,Itanagar,27.100174,93.604004,29.4,3.3,73,2026-06-02,Medium,Low,High
10,Itanagar,27.100174,93.604004,28.9,2.6,76,2026-06-02,Medium,Low,High
11,Itanagar,27.100174,93.604004,28.2,2.6,81,2026-06-02,Medium,Low,Very High
12,Itanagar,27.100174,93.604004,27.5,2.5,85,2026-06-02,Medium,Low,Very High
13,Itanagar,27.100174,93.604004,26.8,1.7,89,2026-06-02,Medium,Low,Very High
14,Itanagar,27.100174,93.604004,26.1,0.6,92,2026-06-02,Medium,Low,Very High
15,Itanagar,27.100174,93.604004,25.5,0.6,94,2026-06-02,Medium,Low,Very High
16,Itanagar,27.100174,93.604004,25.0,0.2,96,2026-06-02,Cool,Low,Very High
17,Itanagar,27.100174,93.604004,24.6,1.1,99,2026-06-02,Cool,Low,Very High
18,Itanagar,27.100174,93.604004,24.3,1.6,100,2026-06-02,Cool,Low,Very High
19,Itanagar,27.100174,93.604004,24.1,1.1,100,2026-06-02,Cool,Low,Very High
20,Itanagar,27.100174,93.604004,24.0,1.3,100,2026-06-02,Cool,Low,Very High
21,Itanagar,27.100174,93.604004,23.9,1.7,100,2026-06-02,Cool,Low,Very High
22,Itanagar,27.100174,93.604004,23.9,1.3,99,2026-06-02,Cool,Low,Very High
23,Itanagar,27.100174,93.604004,23.8,0.4,99,2026-06-02,Cool,Low,Very High
0,Itanagar,27.100174,93.604004,23.9,0.8,98,2026-06-03,Cool,Low,Very High
1,Itanagar,27.100174,93.604004,24.0,1.9,98,2026-06-03,Cool,Low,Very High
2,Itanagar,27.100174,93.604004,24.3,3.2,98,2026-06-03,Cool,Low,Very High
3,Itanagar,27.100174,93.604004,24.8,4.1,96,2026-06-03,Cool,Low,Very High
4,Itanagar,27.100174,93.604004,25.6,4.4,91,2026-06-03,Medium,Low,Very High
5,Itanagar,27.100174,93.604004,26.7,4.1,85,2026-06-03,Medium,Low,Very High
6,Itanagar,27.100174,93.604004,27.5,4.0,81,2026-06-03,Medium,Low,Very High
7,Itanagar,27.100174,93.604004,28.6,4.2,76,2026-06-03,Medium,Low,High
8,Itanagar,27.100174,93.604004,28.5,2.7,78,2026-06-03,Medium,Low,High
9,Itanagar,27.100174,93.604004,28.3,1.0,81,2026-06-03,Medium,Low,Very High
10,Itanagar,27.100174,93.604004,28.0,0.8,84,2026-06-03,Medium,Low,Very High
11,Itanagar,27.100174,93.604004,27.6,2.3,87,2026-06-03,Medium,Low,Very High
