hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
23,Chennai,13.110721,80.2459,27.5,8.2,84,2026-06-02,Medium,Moderate,Very High
0,Chennai,13.110721,80.2459,27.8,8.0,82,2026-06-03,Medium,Moderate,Very High
1,Chennai,13.110721,80.2459,28.6,8.5,75,2026-06-03,Medium,Moderate,High
2,Chennai,13.110721,80.2459,30.0,9.2,67,2026-06-03,Medium,Moderate,High
3,Chennai,13.110721,80.2459,31.4,9.0,60,2026-06-03,Medium,Moderate,Moderate
4,Chennai,13.110721,80.2459,33.1,6.5,54,2026-06-03,Hot,Moderate,Moderate
5,Chennai,13.110721,80.2459,34.9,2.9,49,2026-06-03,Hot,Low,Moderate
6,Chennai,13.110721,80.2459,36.2,1.8,45,2026-06-03,Hot,Low,Moderate
7,Chennai,13.110721,80.2459,35.7,5.6,50,2026-06-03,Hot,Moderate,Moderate
8,Chennai,13.110721,80.2459,35.2,3.8,53,2026-06-03,Hot,Low,Moderate
9,Chennai,13.110721,80.2459,34.4,4.6,57,2026-06-03,Hot,Low,Moderate
10,Chennai,13.110721,80.2459,33.4,7.2,63,2026-06-03,Hot,Moderate,High
11,Chennai,13.110721,80.2459,32.4,9.5,69,2026-06-03,Hot,Moderate,High
12,Chennai,13.110721,80.2459,31.5,10.6,74,2026-06-03,Medium,High,High
13,Chennai,13.110721,80.2459,30.6,10.2,78,2026-06-03,Medium,High,High
14,Chennai,13.110721,80.2459,29.7,8.8,83,2026-06-03,Medium,Moderate,Very High
15,Chennai,13.110721,80.2459,28.8,7.8,87,2026-06-03,Medium,Moderate,Very High
16,Chennai,13.110721,80.2459,27.9,8.1,91,2026-06-03,Medium,Moderate,Very High
17,Chennai,13.110721,80.2459,27.1,9.5,94,2026-06-03,Medium,Moderate,Very High
18,Chennai,13.110721,80.2459,26.6,10.8,96,2026-06-03,Medium,High,Very High
19,Chennai,13.110721,80.2459,26.3,11.6,96,2026-06-03,Medium,High,Very High
20,Chennai,13.110721,80.2459,26.1,11.9,95,2026-06-03,Medium,High,Very High
21,Chennai,13.110721,80.2459,26.1,12.1,93,2026-06-03,Medium,High,Very High
22,Chennai,13.110721,80.2459,26.3,11.9,90,2026-06-03,Medium,High,Very High
23,Chennai,13.110721,80.2459,26.6,11.7,86,2026-06-03,Medium,High,Very High
