hour,city,latitude,longitude,temp,wind_speed,humidity,date,temp_category,wind_category,humidity_category
17,Mumbai,19.086115,72.85291,30.7,7.2,69,2026-05-31,Medium,Moderate,High
18,Mumbai,19.086115,72.85291,30.6,9.0,69,2026-05-31,Medium,Moderate,High
19,Mumbai,19.086115,72.85291,30.5,7.5,69,2026-05-31,Medium,Moderate,High
20,Mumbai,19.086115,72.85291,30.1,6.2,71,2026-05-31,Medium,Moderate,High
21,Mumbai,19.086115,72.85291,29.6,5.3,73,2026-05-31,Medium,Moderate,High
22,Mumbai,19.086115,72.85291,29.1,4.7,77,2026-05-31,Medium,Low,High
23,Mumbai,19.086115,72.85291,28.8,4.9,80,2026-05-31,Medium,Low,High
0,Mumbai,19.086115,72.85291,28.7,4.5,80,2026-06-01,Medium,Low,High
1,Mumbai,19.086115,72.85291,29.0,4.4,79,2026-06-01,Medium,Low,High
2,Mumbai,19.086115,72.85291,29.6,5.0,76,2026-06-01,Medium,Low,High
3,Mumbai,19.086115,72.85291,30.4,5.8,73,2026-06-01,Medium,Moderate,High
4,Mumbai,19.086115,72.85291,31.2,7.2,68,2026-06-01,Medium,Moderate,High
5,Mumbai,19.086115,72.85291,32.1,9.2,63,2026-06-01,Hot,Moderate,High
6,Mumbai,19.086115,72.85291,32.8,11.0,60,2026-06-01,Hot,High,Moderate
7,Mumbai,19.086115,72.85291,33.2,11.7,59,2026-06-01,Hot,High,Moderate
8,Mumbai,19.086115,72.85291,33.3,11.7,58,2026-06-01,Hot,High,Moderate
9,Mumbai,19.086115,72.85291,33.2,11.7,59,2026-06-01,Hot,High,Moderate
10,Mumbai,19.086115,72.85291,33.0,12.0,60,2026-06-01,Hot,High,Moderate
11,Mumbai,19.086115,72.85291,32.5,12.1,61,2026-06-01,Hot,High,High
12,Mumbai,19.086115,72.85291,32.1,11.8,63,2026-06-01,Hot,High,High
13,Mumbai,19.086115,72.85291,31.7,10.9,64,2026-06-01,Medium,High,High
14,Mumbai,19.086115,72.85291,31.3,9.6,65,2026-06-01,Medium,Moderate,High
15,Mumbai,19.086115,72.85291,31.0,8.5,66,2026-06-01,Medium,Moderate,High
16,Mumbai,19.086115,72.85291,30.7,7.6,68,2026-06-01,Medium,Moderate,High
17,Mumbai,19.086115,72.85291,30.5,7.0,69,2026-06-01,Medium,Moderate,High
18,Mumbai,19.086115,72.85291,30.3,6.7,71,2026-06-01,Medium,Moderate,High
19,Mumbai,19.086115,72.85291,30.1,6.1,72,2026-06-01,Medium,Moderate,High
20,Mumbai,19.086115,72.85291,30.0,5.1,73,2026-06-01,Medium,Moderate,High
